branchname,district,division,region,state,pincode
Khapar,Nandurbar,Dhule,Aurangabad,Maharashtra,425419
Kattumannarkoil,Cuddalore,Cuddalore,Tiruchy,Tamil Nadu,608301
Jind,Jind,Karnal,Ambala  HQ,Haryana,126102
Peeplu,Tonk,Tonk,Ajmer,Rajasthan,304801
NASRULLAGANJ,none,none,none,none,none
Mathura,South Andaman,A - N Islands,Calcutta HQ,Andaman & Nicobar,744206
Bareilly,Bareilly,Bareilly,Bareilly,Uttar Pradesh,243001
DULANIA,none,none,none,none,none
Rajgarh,Shivpuri,Guna,Gwalior,Madhya Pradesh,473774
KALAYAR,none,none,none,none,none
Rajnandgaon,Rajnandgaon,Durg,Raipur,Chattisgarh,491441
Siddapura,Shimoga,Shimoga,South Karnataka,Karnataka,577301
Kota,Ranchi,Ranchi,Ranchi,Jharkhand,835225
SINGARAYAKONDA,none,none,none,none,none
ATHNER,none,none,none,none,none
BADIGORA,none,none,none,none,none
BADIGORA,none,none,none,none,none
Firozabad,Kheri,Kheri,Bareilly,Uttar Pradesh,261502
Udaipur,Chamba,Chamba,Shimla HQ,Himachal Pradesh,176314
Sidlaghatta,Kolar,Kolar,South Karnataka,Karnataka,562105
Ieeja,Mahabub Nagar,Mahabubnagar,Hyderabad,Telangana,509127
Tuljapur,Osmanabad,Osmanabad,Aurangabad,Maharashtra,413601
Tundla,Firozabad,Mainpuri,Agra,Uttar Pradesh,283204
Badnawar,Dhar,Indore Moffusil,Indore,Madhya Pradesh,454660
Viralimalai,Pudukkottai,Pudukkottai,Tiruchy,Tamil Nadu,621316
Gudivada,East Godavari,Kakinada,Visakhapatnam,Andhra Pradesh,533437
Malpur,Patna,Nalanda,Patna HQ,Bihar,803301
Samalkha,Panipat,Karnal,Ambala  HQ,Haryana,132101
Joura,Datia,Gwalior,Gwalior,Madhya Pradesh,475675
Mandawa,Jhujhunu,Jhunjhunu,Jodhpur,Rajasthan,333704
Baskhari,Ambedkar Nagar,Faizabad,Lucknow  HQ,Uttar Pradesh,224129
Channarayapatna,Hassan,Hassan,South Karnataka,Karnataka,573116
Korba,Korba,Bilaspur,Raipur,Chattisgarh,495677
Edappadi,Salem,Salem East,Coimbatore,Tamil Nadu,636105
Reodar,Sirohi,Sirohi,Jodhpur,Rajasthan,307514
Srikakulam,Srikakulam,Srikakulam,Visakhapatnam,Andhra Pradesh,532001
Avalurpet,Villupuram,Pondicherry,Chennai Region,Tamil Nadu,604201
Chintamani,Kolar,Kolar,South Karnataka,Karnataka,563125
MUGHALSARAI,none,none,none,none,none
JOGINDER,none,none,none,none,none
Kannauj,Kannauj,Fatehgarh,Kanpur,Uttar Pradesh,209725
BALASINOR,none,none,none,none,none
Pakala,Prakasam,Prakasam,Vijayawada,Andhra Pradesh,523101
Manmad,Nashik,Malegaon,Aurangabad,Maharashtra,423104
Kharsia,Raigarh,Raigarh,Raipur,Chattisgarh,496661
Kantamal,Boudh,Phulbani,Berhampur,Odisha,762017
xaassdharamgarh,none,none,none,none,none
Jagtial,Karim Nagar,Karimnagar,Hyderabad,Telangana,505327
Wyra,Khammam,Khammam,Vijayawada,Telangana,507165
Malerkotla,Sangrur,Sangrur,Chandigarh HQ,Punjab,148023
Kakching,Thoubal,Manipur,North Eastern,Manipur,795103
Bankura,Bankura,Bankura,South Bengal,West Bengal,722101
MAHUVA,none,none,none,none,none
Kishangarh,Jalandhar,Jalandhar,Chandigarh Region,Punjab,144301
Gidhaur,Jamui,Monghyr,Patna HQ,Bihar,811305
Nanjangud,Mysore,Nanjangud,South Karnataka,Karnataka,571301
Vijapur,Junagadh,Junagadh,Rajkot,Gujarat,362015
Nissing,Karnal,Karnal,Ambala  HQ,Haryana,132024
Chikhli,Rajnandgaon,Durg,Raipur,Chattisgarh,491668
Raibag,Belgaum,Chikodi,North Karnataka,Karnataka,591317
Amarpur,Dumka,Santhal Parganas,Ranchi,Jharkhand,814145
Ibrahimpatnam,Mahabub Nagar,Mahabubnagar,Hyderabad,Telangana,509351
Bhusawal,Jalgaon,Bhusaval,Aurangabad,Maharashtra,425201
Halagur,Mandya,Mandya,South Karnataka,Karnataka,571421
MV,none,none,none,none,none
CHEYYUR,none,none,none,none,none
Kesepalli,Ananthapur,Anantapur,Kurnool,Andhra Pradesh,515425
Sanand,Ahmedabad,Gandhinagar,Ahmedabad HQ,Gujarat,382110
BYDGI,none,none,none,none,none
Hagaribommanahalli,Bellary,Bellary,North Karnataka,Karnataka,583212
Devanahalli,Bangalore Rural,Channapatna,Bangalore HQ,Karnataka,562110
Zirakpur,Mohali,Chandigarh,Chandigarh HQ,Punjab,140603
Ikauna,Bahraich,Bahraich,Gorakhpur,Uttar Pradesh,271845
Kotagiri,Nilgiris,Nilgiris,Coimbatore,Tamil Nadu,643217
Dindigul,K.V.Rangareddy,Secunderabad,Hyderabad City,Telangana,500043
Byndoor,Udupi,Udupi,South Karnataka,Karnataka,576214
Bilkisganj,Sehore,Sehore,Indore,Madhya Pradesh,466111
Pattamundai,Kendrapara,Cuttack North,Bhubaneswar HQ,Odisha,754215
Kukas,Vadodara,Vadodara East,Vadodara,Gujarat,391250
Karaikudi,Sivaganga,Karaikudi,Madurai,Tamil Nadu,630001
Jalkot,Latur,Osmanabad,Aurangabad,Maharashtra,413532
Kapadwanj,Kheda,Kheda,Vadodara,Gujarat,387620
MEHAM,none,none,none,none,none
AMET,none,none,none,none,none
Annur,Kannur,Cannanore,Calicut,Kerala,670307
SAHAKAR,none,none,none,none,none
Palampur,Kangra,Dharamsala,Shimla HQ,Himachal Pradesh,176061
Kathua,Kathua,Jammu,Srinagar HQ,Jammu & Kashmir,184101
Sherghati,Gaya,Aurangabad(Bihar),Patna HQ,Bihar,824211
Rampura,Sikar,Sikar,Jodhpur,Rajasthan,332719
Gunderdehi,Durg,Durg,Raipur,Chattisgarh,491223
Mandi,Jaipur,Jaipur Moffusil,Jaipur HQ,Rajasthan,303005
VENKAT,none,none,none,none,none
Yeola,Nashik,Malegaon,Aurangabad,Maharashtra,423401
Barpeta,Barpeta,Nalbari,Guwahati HQ,Assam,781301
Shikohabad,Firozabad,Mainpuri,Agra,Uttar Pradesh,283135
Vijayapaura,Bangalore Rural,Channapatna,Bangalore HQ,Karnataka,562135
TADWAL,none,none,none,none,none
Kymore,Jabalpur,Jabalpur,Indore,Madhya Pradesh,483880
Kavathe,Solapur,Solapur,Pune,Maharashtra,413002
Kannur,Bangalore,Channapatna,Bangalore HQ,Karnataka,562149
Viramgam,Ahmedabad,Gandhinagar,Ahmedabad HQ,Gujarat,382150
Shindkheda,Dhule,Dhule,Aurangabad,Maharashtra,425406
Shirpur,Palamau,Palamau,Ranchi,Jharkhand,822120
JEVARGI,none,none,none,none,none
Yawal,Jalgaon,Bhusaval,Aurangabad,Maharashtra,425301
